NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR_TAR;PCR;TAR;PERC_PCR_TAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
ALT CAMP;01;2020-08-12;2020-08-18;No;312.731;3.26871;95.6741;77.4505;34;765.3932;336;0;9.3656;1;0;1
ALT CAMP;01;2020-08-12;2020-08-18;Si;;;0.0000;0.0000;0;1649.4845;8;0;0.0000;0;0;0
ALT CAMP;01;2020-08-11;2020-08-17;No;270.341;3.20748;84.2843;59.2268;26;740.3357;325;0;6.5217;1;0;1
ALT CAMP;01;2020-08-11;2020-08-17;Si;;;0.0000;0.0000;0;1649.4845;8;0;0.0000;0;0;0
ALT CAMP;01;2020-08-10;2020-08-16;No;220.009;3.21939;68.3386;59.2268;26;703.8884;309;0;7.8689;0;0;0
ALT CAMP;01;2020-08-10;2020-08-16;Si;;;0.0000;0.0000;0;1443.2989;7;0;0.0000;0;0;0
ALT CAMP;01;2020-08-09;2020-08-15;No;198.519;3.0051;66.0607;56.9489;25;690.2207;303;0;7.6923;0;0;0
ALT CAMP;01;2020-08-09;2020-08-15;Si;;;0.0000;0.0000;0;1237.1134;6;0;0.0000;0;0;0
ALT CAMP;01;2020-08-08;2020-08-14;No;134.237;2.67857;50.1150;41.0032;18;635.5497;279;0;5.0725;0;0;0
ALT CAMP;01;2020-08-08;2020-08-14;Si;;;0.0000;0.0000;0;1030.9278;5;0;0.0000;0;0;0
ALT CAMP;01;2020-08-07;2020-08-13;No;85.0166;1.96429;43.2811;31.8913;14;624.1600;274;0;4.7970;0;0;0
ALT CAMP;01;2020-08-07;2020-08-13;Si;;;0.0000;0.0000;0;1855.6701;9;0;0.0000;0;0;0
ALT CAMP;01;2020-08-06;2020-08-12;No;52.5015;1.44048;36.4472;20.5016;9;578.6008;254;0;3.2000;0;0;0
ALT CAMP;01;2020-08-06;2020-08-12;Si;;;0.0000;0.0000;0;1855.6701;9;0;0.0000;0;0;0
ALT CAMP;01;2020-08-05;2020-08-11;No;32.5477;0.840476;38.7252;18.2236;8;576.3229;253;0;2.8112;0;0;0
ALT CAMP;01;2020-08-05;2020-08-11;Si;;;0.0000;0.0000;0;2061.8556;10;0;0.0000;0;0;0
ALT CAMP;01;2020-08-04;2020-08-10;No;25.909;0.669048;38.7252;25.0575;11;471.5369;207;0;4.9261;0;0;0
ALT CAMP;01;2020-08-04;2020-08-10;Si;;;0.0000;0.0000;0;2474.2268;12;0;0.0000;0;0;0
ALT CAMP;01;2020-08-03;2020-08-09;No;9.54572;0.419048;22.7795;9.1118;4;435.0896;191;0;2.1277;0;0;0
ALT CAMP;01;2020-08-03;2020-08-09;Si;;;0.0000;0.0000;0;2268.0412;11;0;0.0000;0;0;0
ALT CAMP;01;2020-08-02;2020-08-08;No;12.7999;0.561905;22.7795;9.1118;4;435.0896;191;0;2.1277;0;0;0
ALT CAMP;01;2020-08-02;2020-08-08;Si;;;0.0000;0.0000;0;2061.8556;10;0;0.0000;0;0;0
ALT CAMP;01;2020-08-01;2020-08-07;No;24.8189;0.990476;25.0575;9.1118;4;539.8756;237;0;1.7094;1;0;0
ALT CAMP;01;2020-08-01;2020-08-07;Si;;;0.0000;0.0000;0;2061.8556;10;0;0.0000;0;0;0
ALT CAMP;01;2020-07-31;2020-08-06;No;42.7171;1.70476;25.0575;11.3897;5;517.0960;227;0;1.7857;1;0;0
ALT CAMP;01;2020-07-31;2020-08-06;Si;;;0.0000;0.0000;0;1443.2989;7;0;0.0000;0;0;0
ALT CAMP;01;2020-07-30;2020-08-05;No;51.1564;1.87143;27.3354;15.9456;7;523.9299;230;0;3.0702;1;0;0
ALT CAMP;01;2020-07-30;2020-08-05;Si;;;0.0000;0.0000;0;1443.2989;7;0;0.0000;0;0;0
